ID;Trans;Factors;FRED Mnemonic;Description;type;S;M;L;XL;XS
94;5;1;INVCQRMTSPL;Real Manufacturing and Trade Inventories (Millions of 2012 Dollars);slow;;;;;
222;5;0;BUSINVx;Total Business Inventories (Millions of Dollars);slow;;;;x;
223;2;0;ISRATIOx;Total Business:  Inventories to Sales Ratio;slow;;;;x;
95;6;0;PCECTPI;Personal Consumption Expenditures: Chain-type Price Index ;slow;;;x;x;
96;6;0;PCEPILFE;Personal Consumption Expenditures Excluding Food and Energy;slow;;;;x;
97;6;0;GDPCTPI;Gross Domestic Product: Chain-type Price Index;slow;;x;x;x;
98;6;1;GPDICTPI;Gross Private Domestic Investment: Chain-type Price Index ;slow;;;x;x;
99;6;1;IPDBS;Business Sector:  Implicit Price Deflator (Index 2012=100);slow;;;x;x;
100;6;0;DGDSRG3Q086SBEA;Personal consumption expenditures:  Goods ;slow;;;x;x;
101;6;0;DDURRG3Q086SBEA;Personal consumption expenditures:  Durable goods ;slow;;;x;x;
102;6;0;DSERRG3Q086SBEA;Personal consumption expenditures:  Services ;slow;;;x;x;
103;6;0;DNDGRG3Q086SBEA;Personal consumption expenditures:  Nondurable goods;slow;;;x;x;
104;6;0;DHCERG3Q086SBEA;Personal consumption expenditures:  Services:  Household consumption expenditures;slow;;;;x;
105;6;1;DMOTRG3Q086SBEA;Personal consumption expenditures:  Durable goods:  Motor vehicles and parts;slow;;;;x;
106;6;1;DFDHRG3Q086SBEA;Personal consumption expenditures:  Durable goods:  Furnishings and durable household equipment;slow;;;;x;
107;6;1;DREQRG3Q086SBEA;Personal consumption expenditures:  Durable goods:  Recreational goods and vehicles;slow;;;;x;
108;6;1;DODGRG3Q086SBEA;Personal consumption expenditures:  Durable goods:  Other durable goods;slow;;;;x;
109;6;1;DFXARG3Q086SBEA;Personal consumption expenditures:  Nondurable goods:  Food and beverages purchased for off-premises consumption;slow;;;;x;
110;6;1;DCLORG3Q086SBEA;Personal consumption expenditures:  Nondurable goods:  Clothing and footwear;slow;;;;x;
111;6;1;DGOERG3Q086SBEA;Personal consumption expenditures:  Nondurable goods:  Gasoline and other energy goods;slow;;;;x;
112;6;1;DONGRG3Q086SBEA;Personal consumption expenditures:  Nondurable goods:  Other nondurable goods;slow;;;;x;
113;6;1;DHUTRG3Q086SBEA;Personal consumption expenditures:  Services:  Housing and utilities;slow;;;;x;
114;6;1;DHLCRG3Q086SBEA;Personal consumption expenditures:  Services:  Health care;slow;;;;x;
115;6;1;DTRSRG3Q086SBEA;Personal consumption expenditures:  Transportation services;slow;;;;x;
116;6;1;DRCARG3Q086SBEA;Personal consumption expenditures: Recreation services;slow;;;;x;
117;6;1;DFSARG3Q086SBEA;Personal consumption expenditures:  Services:  Food services and accomodations;slow;;;;x;
118;6;1;DIFSRG3Q086SBEA;Personal consumption expenditures:  Financial services and insurance;slow;;;;x;
